Model Type,Model Count
MODEL 3,13479
LEAF,11093
MODEL S,5954
VOLT,4719
MODEL X,2991
BOLT,2664
MODEL Y,1892
I3,1515
E-GOLF,945
SOUL,729
500E,721
CLARITY,645
PACIFICA,639
NIRO ELECTRIC,600
BOLT EV,558
E-TRON,361
FOCUS,278
SPARK,238
SMART FORTWO ELECTRIC DRIVE COUPE,223
I-PACE,181
KONA,128
PACIFICA HYBRID,112
I3 WITH RANGE EXTENDER,107
ELR COUPE,84
I-MIEV,71
COOPER,62
ROADSTER,62
B-CLASS ELECTRIC DRIVE,61
I3S WITH RANGE EXTENDER,61
NIRO,60
RAV4,51
B250E,38
I3S,31
KONA ELECTRIC,29
KARMA,16
SMART FORTWO ELECTRIC DRIVE CABRIOLET,15
CT6,14
IONIQ,11
TRANSIT CONNECT ELECTRIC VAN,9
IONIQ ELECTRIC,9
RANGER,9
RAV4 EV 2WD,7
E-TRON SPORTBACK,6
500,4
CITY,3
LIFE,2
RAV4 EV,2
CARAVAN,1
S-10 PICKUP,1
FORTWO,1
CLARITY EV,1
